PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_Quality
53.96,115.54,7.09,6.08,9.39,6.12,0.54,9.81,17.46,4.09,4.62,1.04,148.0,Moderate
78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160.0,Moderate
40.98,69.15,2.22,14.6,9.58,19.11,0.46,18.62,39.9,0.33,0.97,0.14,65.0,Satisfactory
72.06,123.2,8.46,33.0,23.25,14.82,0.74,4.73,34.33,0.56,2.35,0.05,131.0,Moderate
75.04,81.99,2.27,16.05,12.57,15.02,0.93,6.88,33.52,1.36,7.22,1.04,113.0,Moderate
55.12,102.79,55.6,49.1,57.79,11.8,1.43,11.35,21.51,1.21,3.41,1.42,127.0,Moderate
79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,0.33,3.95,0.19,170.0,Moderate
61.12,105.64,38.45,34.54,69.35,11.71,1.03,4.32,35.19,24.88,35.85,4.29,145.0,Moderate
57.07,139.34,8.9,52.52,34.8,22.99,0.86,13.35,32.33,2.13,12.21,3.12,126.0,Moderate
34.18,97.81,10.82,28.46,26.45,44.47,0.78,8.53,28.09,1.56,20.66,1.0,102.0,Moderate
71.44,111.72,8.97,16.6,23.98,10.46,1.15,8.39,38.01,1.48,8.14,0.95,211.0,Poor
28.35,47.36,3.41,11.19,8.54,35.22,0.44,5.58,12.51,4.01,0.37,0.81,49.0,Good
30.8,101.48,6.15,28.85,19.13,16.33,0.31,7.02,15.42,1.59,10.31,9.83,92.0,Satisfactory
32.05,75.31,20.86,18.96,28.66,15.16,0.73,6.55,23.62,1.26,1.5,1.83,68.0,Satisfactory
32.33,97.38,17.54,11.96,27.44,12.02,0.78,9.91,29.66,1.55,1.83,1.98,92.0,Satisfactory
69.45,127.48,22.75,26.09,11.47,31.36,0.2,5.81,34.34,0.24,1.27,0.1,115.0,Moderate
69.46,205.16,16.51,13.13,40.59,10.95,0.66,3.72,12.89,11.28,8.05,6.1,162.0,Moderate
140.35,282.16,34.69,54.28,71.59,52.36,1.49,12.25,52.12,1.72,5.93,0.79,318.0,Very Poor
111.47,189.73,29.45,10.03,39.44,13.06,0.46,11.65,18.13,3.7,4.4,2.0,309.0,Very Poor
144.0,214.88,29.59,44.41,48.79,51.81,1.24,7.98,32.08,3.47,22.85,0.16,273.0,Poor
23.78,44.16,1.98,8.07,5.91,9.98,0.49,21.65,27.22,0.11,0.65,0.18,48.0,Good
33.79,72.37,4.95,14.88,9.68,36.66,0.68,10.67,66.92,7.41,3.52,2.97,105.0,Moderate
103.98,284.44,49.67,65.52,81.75,55.99,1.46,12.48,57.66,5.23,6.98,0.0,270.0,Poor
67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,2.42,9.14,0.8,208.0,Poor
63.29,99.76,5.44,12.41,16.46,10.27,1.08,5.8,44.08,1.02,5.7,2.22,117.0,Moderate
62.05,108.79,51.93,40.28,90.82,31.98,0.82,10.31,14.83,0.72,7.22,1.82,218.0,Poor
106.87,217.18,79.9,80.75,153.8,33.36,1.12,19.36,44.77,28.03,34.51,5.62,254.0,Poor
84.88,160.64,43.27,48.82,91.95,26.41,1.09,12.02,20.64,37.7,41.84,3.48,200.0,Moderate
21.85,45.57,3.88,7.8,11.72,13.43,0.34,7.69,39.34,1.25,6.02,0.29,62.0,Satisfactory
30.74,80.8,14.47,16.64,31.11,10.42,0.89,62.24,37.59,3.24,2.17,8.21,97.0,Satisfactory
76.84,169.8,8.85,25.66,22.97,62.83,1.18,19.73,52.03,5.44,7.61,26.17,181.0,Moderate
40.26,91.86,9.17,41.16,28.67,22.13,0.71,6.94,47.22,1.24,4.05,1.46,95.0,Satisfactory
17.17,56.16,7.61,24.22,17.62,19.31,0.38,9.61,14.63,0.12,0.98,0.19,53.0,Satisfactory
202.11,352.68,54.86,56.45,72.5,63.15,1.87,21.64,68.33,4.09,10.9,0.0,362.0,Very Poor
43.36,87.53,11.31,9.17,20.48,6.88,0.15,9.03,38.7,0.65,1.98,3.31,93.0,Satisfactory
65.93,129.11,33.11,38.61,54.08,50.39,0.97,45.27,29.9,6.59,2.31,10.58,119.0,Moderate
88.3,183.74,23.14,41.81,55.86,39.62,1.08,15.41,46.28,1.28,3.12,0.0,179.0,Moderate
33.83,74.91,3.68,31.53,19.53,15.07,0.63,5.28,45.59,0.97,5.2,0.95,101.0,Moderate
61.69,137.47,27.29,33.08,55.41,8.51,0.01,4.06,19.18,5.55,2.84,10.88,127.0,Moderate
60.92,175.69,12.57,52.0,14.03,26.07,0.17,21.17,68.16,0.16,2.49,0.75,171.0,Moderate
36.7,63.45,3.79,35.45,21.68,21.33,0.77,6.87,35.35,1.26,8.55,1.79,82.0,Satisfactory
81.18,97.96,2.98,0.67,2.5,11.17,1.28,5.4,44.62,1.14,5.91,0.52,227.0,Poor
7.53,26.41,3.75,10.7,8.83,7.21,0.46,5.29,25.04,0.14,1.46,0.16,39.0,Good
67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,0.15,6.52,0.07,138.0,Moderate
75.14,199.8,15.98,37.97,46.42,37.86,1.01,14.13,68.76,2.97,3.11,0.0,217.0,Poor
88.14,152.17,16.01,67.71,48.21,17.75,1.33,21.88,43.0,6.11,34.41,9.3,151.0,Moderate
71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,0.18,3.45,0.07,140.0,Moderate
37.15,99.05,17.64,84.52,27.1,32.48,0.39,8.3,13.15,0.26,4.77,3.96,97.0,Satisfactory
26.13,60.44,8.3,22.94,19.06,19.43,0.82,27.0,30.84,0.03,7.96,12.4,59.0,Satisfactory
50.45,106.22,13.64,6.51,14.27,6.27,0.74,10.38,11.03,5.31,0.86,1.76,107.0,Moderate
61.74,101.15,5.38,8.97,12.97,10.28,0.92,3.82,45.44,0.44,2.67,0.15,121.0,Moderate
80.8,107.95,10.05,10.88,19.25,5.15,0.75,10.01,66.7,1.62,1.62,1.98,193.0,Moderate
32.21,75.25,21.81,19.91,27.96,51.7,0.72,11.08,9.32,5.67,0.15,1.3,66.0,Satisfactory
73.44,135.12,16.48,6.34,16.6,6.47,0.95,12.4,15.35,6.67,0.55,49.92,138.0,Moderate
41.74,95.71,19.92,26.86,31.87,33.03,1.23,8.12,28.41,2.44,24.96,3.44,103.0,Moderate
12.88,33.71,7.04,15.24,6.91,4.9,0.17,4.33,54.45,0.06,0.9,0.52,86.0,Satisfactory
71.81,147.11,7.22,47.8,30.04,10.43,0.65,15.7,32.72,4.48,30.82,14.82,133.0,Moderate
159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,3.11,6.12,3.49,352.0,Very Poor
61.49,104.8,9.17,49.74,10.35,25.35,0.37,15.23,80.55,0.03,0.48,0.36,160.0,Moderate
35.06,53.38,10.31,35.45,26.63,15.82,0.59,5.67,20.9,1.91,14.05,8.14,71.0,Satisfactory
41.03,53.89,6.99,34.67,23.8,12.6,0.58,4.21,19.11,1.99,15.05,1.68,83.0,Satisfactory
29.33,67.08,11.54,39.1,25.12,11.21,0.58,15.11,43.64,4.74,26.73,3.17,80.0,Satisfactory
271.96,424.07,108.12,83.75,142.71,55.19,2.58,20.35,33.75,8.8,53.96,2.04,383.0,Very Poor
209.7,373.06,71.59,99.06,86.85,47.52,2.55,13.77,53.31,6.94,11.0,1.21,378.0,Very Poor
95.06,202.55,70.95,56.41,120.88,28.27,1.22,12.92,36.38,31.55,42.19,5.27,205.0,Poor
152.33,252.92,21.5,38.87,53.34,66.51,1.31,14.45,43.18,2.37,4.43,0.0,351.0,Very Poor
14.61,45.18,5.98,24.79,17.43,18.28,0.27,7.85,11.18,0.53,3.42,1.4,50.0,Good
69.21,278.71,13.97,31.36,29.11,33.73,1.04,10.41,28.65,2.24,16.29,1.07,150.0,Moderate
13.74,24.22,7.22,17.02,24.21,10.58,0.4,2.63,24.58,21.92,10.79,1.46,50.0,Good
10.28,22.95,2.09,8.15,6.03,8.47,0.49,29.5,24.62,0.1,0.42,0.1,35.0,Good
18.39,43.73,3.62,15.41,9.61,13.02,0.36,9.21,16.87,0.17,1.36,0.09,48.0,Good
36.31,77.21,1.47,18.03,10.88,4.47,0.52,17.79,42.23,0.14,1.09,0.11,85.0,Satisfactory
29.86,55.8,1.39,4.52,3.54,8.81,0.28,23.12,44.17,0.08,0.33,0.1,69.0,Satisfactory
64.14,119.19,3.96,46.13,27.17,15.79,0.63,5.18,30.71,1.79,7.94,1.05,122.0,Moderate
32.61,64.75,4.36,11.68,13.89,3.7,0.36,2.74,34.14,8.02,5.21,3.59,67.0,Satisfactory
72.74,104.94,8.25,17.02,23.62,10.43,1.14,10.42,28.54,1.67,9.31,1.01,147.0,Moderate
58.9,110.95,6.49,78.77,88.61,14.05,0.82,3.24,17.78,4.59,7.61,5.88,123.0,Moderate
65.61,41.31,3.4,26.03,20.37,24.78,0.57,5.44,25.47,0.83,4.39,0.22,128.0,Moderate
221.68,377.4,19.84,60.05,69.37,48.04,1.72,21.27,90.08,3.98,10.55,0.0,450.0,Severe
85.95,135.44,4.35,24.78,16.8,13.37,1.04,15.74,47.62,0.58,5.05,0.22,198.0,Moderate
33.27,66.36,4.48,12.56,7.49,68.76,0.6,6.3,7.45,5.07,0.24,0.69,55.0,Satisfactory
21.05,70.22,18.49,11.98,28.28,11.71,0.7,12.75,32.14,1.38,1.7,1.98,69.0,Satisfactory
208.87,324.46,80.33,65.66,102.69,92.4,2.1,20.17,36.62,7.94,25.81,0.1,356.0,Very Poor
79.6,174.33,15.86,39.69,37.15,31.57,1.15,9.54,48.95,2.5,27.98,2.06,166.0,Moderate
53.9,111.12,10.73,5.4,11.43,6.04,0.59,11.04,18.54,4.51,0.29,2.05,105.0,Moderate
273.56,401.15,69.31,60.4,15.32,75.04,1.96,21.01,61.73,6.96,25.19,1.18,421.0,Severe
319.69,494.51,105.28,70.54,133.87,56.0,2.7,17.38,41.44,9.1,59.74,2.53,509.0,Severe
28.07,45.66,5.77,25.87,15.9,9.97,0.5,2.65,18.13,0.52,4.74,0.42,60.0,Satisfactory
33.26,87.34,3.07,28.9,17.74,11.91,0.5,5.59,40.01,1.02,9.89,2.03,91.0,Satisfactory
55.64,80.28,9.37,10.19,19.5,11.99,0.73,10.87,36.72,2.02,2.14,2.0,87.0,Satisfactory
58.86,97.97,10.58,54.03,10.45,31.73,0.38,23.1,49.67,0.02,0.15,0.12,103.0,Moderate
129.59,180.39,10.55,30.93,41.48,13.41,0.57,11.25,30.33,16.07,27.94,2.07,289.0,Poor
19.4,43.14,6.53,19.76,25.71,13.62,0.51,6.03,37.37,11.66,17.12,1.51,53.0,Satisfactory
45.78,130.79,33.67,28.65,63.32,16.09,0.0,5.84,15.61,15.23,2.52,13.46,122.0,Moderate
49.59,102.91,5.91,18.46,12.07,37.91,0.77,11.29,62.97,7.5,3.64,3.05,120.0,Moderate
79.52,97.83,5.14,14.89,18.53,10.38,1.26,17.09,61.51,1.78,7.98,1.53,176.0,Moderate
15.06,34.89,5.15,17.5,22.48,13.58,0.46,3.91,18.56,15.68,12.95,1.09,50.0,Good
22.46,41.78,1.94,10.81,7.33,15.98,0.38,20.25,35.46,0.23,0.33,0.1,45.0,Good
86.75,118.72,54.16,24.39,75.21,30.57,0.95,10.92,10.38,3.86,4.42,3.98,231.0,Poor
43.86,91.67,36.73,47.11,51.85,12.02,1.55,11.53,23.24,0.67,4.42,1.51,120.0,Moderate
20.68,38.77,1.56,4.48,3.53,4.22,0.63,10.9,26.79,0.71,1.43,0.12,73.0,Satisfactory
238.69,397.16,106.26,96.62,150.98,55.18,2.87,25.59,101.68,7.31,22.27,3.09,392.0,Very Poor
50.87,122.29,25.26,15.78,23.76,49.94,0.3,5.78,28.65,2.94,0.87,10.68,142.0,Moderate
70.25,204.19,29.03,47.54,53.99,34.96,1.21,21.51,48.59,3.28,32.83,0.84,196.0,Moderate
37.22,84.04,5.0,22.49,15.44,11.06,0.59,5.34,23.74,0.61,3.9,0.3,84.0,Satisfactory
61.33,191.22,13.78,50.59,14.69,33.24,0.17,29.93,41.21,0.24,3.57,0.54,145.0,Moderate
26.96,53.31,1.29,5.11,3.77,7.91,0.37,19.29,38.57,0.13,0.65,0.1,58.0,Satisfactory
12.3,31.28,6.91,11.7,4.45,11.75,0.07,3.66,48.45,0.01,0.34,0.12,74.0,Satisfactory
64.93,108.1,9.57,10.17,19.06,11.96,0.68,7.84,15.94,2.09,2.01,1.94,111.0,Moderate
59.61,95.42,3.61,33.95,20.68,10.46,0.53,12.91,34.28,3.79,25.71,4.7,141.0,Moderate
353.86,496.61,42.74,86.59,117.97,67.43,2.76,19.96,107.69,7.34,16.38,1.46,483.0,Severe
68.53,147.48,8.28,61.52,39.46,19.74,0.04,23.68,37.99,0.18,5.11,0.11,134.0,Moderate
21.78,76.32,5.21,20.63,15.21,18.8,0.44,9.64,25.7,0.16,0.18,0.1,85.0,Satisfactory
137.29,323.31,67.3,52.81,81.62,42.22,1.93,17.13,44.29,6.99,63.99,1.98,332.0,Very Poor
75.43,161.34,9.06,64.0,40.41,19.24,0.82,15.91,34.38,4.14,26.42,6.54,146.0,Moderate
45.19,110.35,19.47,28.51,31.54,31.04,1.02,10.53,19.58,2.24,34.3,0.04,132.0,Moderate
24.29,46.36,10.07,21.72,19.92,23.58,0.73,11.11,23.89,1.7,24.61,0.01,76.0,Satisfactory
51.29,74.22,6.08,32.05,21.7,21.41,0.55,9.21,13.14,3.67,27.18,0.92,72.0,Satisfactory
112.8,171.75,79.2,43.86,119.9,28.37,1.2,10.42,15.22,1.17,6.9,2.14,224.0,Poor
203.03,326.46,56.81,80.62,57.55,55.14,1.01,23.77,106.16,0.93,5.08,0.07,357.0,Very Poor
15.31,40.27,9.65,27.1,21.01,13.22,0.3,7.61,9.29,0.81,3.76,0.73,48.0,Good
49.19,155.58,0.95,26.89,13.92,4.26,0.77,25.9,73.55,0.48,4.0,0.2,126.0,Moderate
22.56,46.29,26.85,14.69,29.63,55.11,0.66,8.51,12.53,5.13,2.25,1.11,62.0,Satisfactory
10.33,29.62,6.19,22.71,16.5,12.65,0.29,8.08,13.14,0.35,2.27,0.18,39.0,Good
7.09,24.44,2.65,7.41,6.2,10.75,0.65,13.87,29.37,0.14,1.13,0.27,72.0,Satisfactory
27.01,56.52,3.81,22.14,12.62,8.92,0.48,2.91,19.56,0.42,2.71,0.31,61.0,Satisfactory
101.25,249.97,39.94,55.16,57.99,22.41,1.51,21.93,52.97,2.68,20.52,0.48,231.0,Poor
9.88,22.6,6.75,11.9,18.63,9.6,0.37,3.35,14.86,19.45,18.1,1.53,33.0,Good
137.42,207.87,31.87,29.16,14.41,45.28,0.33,9.36,37.98,0.6,2.34,0.09,246.0,Poor
48.86,86.87,6.12,26.06,29.01,4.27,0.53,2.0,32.25,22.29,6.12,3.63,105.0,Moderate
66.82,105.01,2.43,17.15,11.09,19.94,0.75,12.67,53.85,1.3,12.96,0.23,137.0,Moderate
27.86,68.18,10.8,28.5,22.5,18.46,0.53,4.57,19.88,5.01,9.98,0.84,71.0,Satisfactory
70.91,133.01,5.34,37.5,24.28,16.11,0.71,13.35,68.38,2.3,17.66,1.8,140.0,Moderate
64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,0.24,6.11,0.14,145.0,Moderate
93.97,195.42,99.92,67.53,162.54,30.5,1.57,11.74,39.23,32.3,45.24,6.59,237.0,Poor
40.18,137.08,13.34,27.51,26.75,26.8,0.89,11.07,40.56,1.75,15.55,1.1,126.0,Moderate
143.81,268.1,93.94,50.9,144.84,10.58,2.44,11.24,21.83,8.29,11.41,18.47,322.0,Very Poor
45.06,101.0,8.9,61.79,15.27,27.21,0.59,15.96,38.65,0.22,4.61,0.46,97.0,Satisfactory
65.46,248.8,19.1,26.08,31.73,34.43,0.78,9.48,28.1,1.4,20.79,0.21,228.0,Poor
51.58,109.11,11.37,9.3,20.67,6.76,0.18,7.1,40.35,1.05,2.42,5.01,107.0,Moderate
87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,0.22,6.61,0.07,229.0,Poor
26.35,79.05,4.26,35.91,8.8,27.27,0.09,6.47,53.11,0.04,0.51,0.11,93.0,Satisfactory
30.18,57.17,5.19,16.71,12.2,11.57,0.44,8.36,27.81,1.16,4.52,0.18,66.0,Satisfactory
71.5,268.29,20.56,25.2,32.61,36.33,0.86,10.22,29.3,1.47,23.26,0.31,215.0,Poor
20.92,26.95,7.49,19.29,27.0,14.84,0.57,2.14,15.6,38.98,9.96,3.1,48.0,Good
72.24,139.44,4.8,40.97,25.37,23.48,0.63,5.04,41.27,0.47,2.26,0.08,134.0,Moderate
72.2,122.12,9.39,20.27,23.15,32.52,8.5,4.4,25.48,2.67,6.07,5.96,204.0,Poor
37.13,68.87,5.58,18.82,13.75,12.6,0.49,4.19,33.93,1.06,3.58,0.11,70.0,Satisfactory
62.77,102.95,4.93,10.25,13.87,10.39,0.89,4.77,50.96,0.54,4.25,0.4,120.0,Moderate
85.53,178.51,24.54,43.12,56.44,43.85,1.15,10.72,40.51,1.93,3.03,0.06,167.0,Moderate
24.42,75.72,12.83,16.47,9.59,6.44,0.22,13.58,32.11,1.7,9.87,2.33,87.0,Satisfactory
43.35,123.1,2.41,25.97,15.54,15.96,0.59,7.43,42.46,2.35,23.06,6.91,109.0,Moderate
147.07,208.87,67.91,30.14,23.78,55.52,0.37,14.64,42.39,0.72,3.4,0.09,319.0,Very Poor
55.6,118.88,4.74,49.58,29.88,15.05,0.57,16.51,33.69,3.79,32.83,1.78,108.0,Moderate
18.96,56.2,1.96,11.05,7.2,10.23,0.32,6.32,27.66,0.31,1.45,0.13,54.0,Satisfactory
101.44,190.56,17.24,10.01,26.96,13.01,0.65,11.37,20.02,2.12,2.83,1.98,162.0,Moderate
53.12,120.09,17.13,5.73,16.77,6.57,0.85,13.54,16.92,5.99,1.07,2.17,108.0,Moderate
50.57,91.07,40.39,8.06,36.97,5.0,0.88,10.77,7.12,9.66,0.67,0.21,95.0,Satisfactory
34.53,75.78,10.57,11.41,20.97,30.69,0.23,3.05,36.75,3.45,1.15,2.0,94.0,Satisfactory
14.57,30.86,3.92,7.56,11.52,12.55,0.34,6.68,31.48,1.23,5.7,0.28,45.0,Good
76.81,138.81,24.88,28.99,14.09,39.43,0.19,11.7,35.79,0.35,2.07,0.08,151.0,Moderate
84.85,157.6,6.75,36.15,23.28,23.37,0.75,13.54,28.26,0.78,6.2,0.48,155.0,Moderate
16.73,47.75,9.02,22.06,21.47,24.4,0.87,8.47,25.43,1.12,10.3,1.03,75.0,Satisfactory
69.8,133.11,43.97,12.89,42.09,49.26,1.0,10.46,8.77,8.82,0.64,4.82,139.0,Moderate
30.52,86.31,11.53,29.99,27.25,24.88,0.9,8.94,28.53,1.89,18.14,1.06,100.0,Satisfactory
52.76,152.06,10.85,26.52,29.02,31.25,0.68,6.5,53.39,3.73,8.34,0.03,146.0,Moderate
40.32,66.25,4.36,11.3,9.65,10.61,0.5,7.57,24.35,39.22,4.47,8.46,62.0,Satisfactory
112.06,216.1,69.4,62.39,127.25,36.62,1.2,7.06,21.87,3.86,7.46,3.94,251.0,Poor
31.91,46.08,9.51,10.02,19.54,13.0,0.63,14.87,11.14,1.81,2.17,2.0,64.0,Satisfactory
69.16,129.71,13.06,45.94,33.48,17.47,0.84,6.06,24.37,1.48,9.42,0.3,120.0,Moderate
91.88,171.84,59.58,13.5,52.75,24.2,1.3,9.59,12.55,10.0,0.86,0.29,199.0,Moderate
21.05,40.05,9.72,10.07,19.58,11.92,0.8,7.78,39.9,1.59,1.84,2.0,63.0,Satisfactory
44.03,116.89,18.34,25.02,30.46,36.7,0.74,9.37,26.19,1.24,22.57,0.44,100.0,Satisfactory
91.18,190.99,8.55,46.44,42.94,49.72,1.15,9.27,69.61,2.78,9.65,2.61,235.0,Poor
316.09,449.06,40.57,60.58,66.4,58.04,2.16,9.92,29.05,6.86,39.35,1.05,452.0,Severe
77.16,148.45,18.82,42.14,61.03,25.06,0.93,13.79,55.84,10.61,19.49,2.8,156.0,Moderate
106.31,200.92,32.12,50.3,82.35,17.03,1.22,8.71,35.61,25.03,37.09,4.56,255.0,Poor
218.06,395.33,136.49,71.73,156.61,52.53,3.04,16.49,40.87,10.22,86.38,3.23,385.0,Very Poor
93.45,215.34,28.94,52.15,68.21,53.84,2.41,12.02,57.78,2.3,4.57,0.0,218.0,Poor
124.61,188.68,57.4,57.63,102.79,26.71,1.25,8.98,16.81,2.58,8.46,4.07,242.0,Poor
75.18,157.84,19.95,46.23,66.18,18.4,0.9,10.2,37.77,10.12,16.57,2.41,195.0,Moderate
58.46,110.45,2.62,35.49,20.66,16.3,0.54,6.17,40.27,1.18,5.4,0.53,120.0,Moderate
48.86,90.27,16.22,10.91,18.44,41.64,0.75,7.18,6.46,6.81,0.19,0.25,85.0,Satisfactory
73.33,178.07,46.44,47.15,67.04,38.24,1.37,20.1,34.41,3.76,31.74,2.24,158.0,Moderate
65.91,139.95,5.65,39.75,25.24,16.63,0.5,6.99,29.27,3.02,29.46,6.31,124.0,Moderate
72.26,153.14,11.19,65.02,43.12,11.13,0.81,14.12,34.93,5.26,36.89,4.64,146.0,Moderate
63.41,96.78,5.24,8.98,12.78,10.26,0.86,6.13,46.51,0.8,4.04,1.44,126.0,Moderate
23.65,67.93,4.09,25.79,16.85,11.4,0.69,4.39,36.5,0.68,3.84,0.53,91.0,Satisfactory
90.07,153.17,27.56,20.88,32.57,35.75,0.86,11.91,8.73,3.3,0.43,1.0,218.0,Poor
54.56,81.16,10.06,34.26,8.81,14.66,0.0,4.16,58.14,0.04,0.24,0.05,126.0,Moderate
42.83,91.88,20.57,40.73,41.36,31.4,0.97,12.19,39.84,2.18,22.27,7.59,105.0,Moderate
50.05,116.97,14.25,55.81,38.89,35.08,0.87,13.92,35.92,2.56,17.15,3.35,108.0,Moderate
29.87,135.11,25.06,6.05,21.99,4.36,0.75,11.15,28.03,0.53,2.43,4.35,133.0,Moderate
37.27,89.76,10.09,32.37,24.07,17.04,0.46,5.1,28.47,0.2,1.4,0.05,84.0,Satisfactory
155.83,305.4,17.13,10.98,27.05,13.26,0.34,9.75,14.51,2.75,3.41,2.0,302.0,Very Poor
84.08,137.59,8.98,50.36,31.34,20.0,0.9,10.47,52.91,3.03,13.06,1.91,147.0,Moderate
18.03,39.16,4.5,8.65,13.21,15.25,0.35,7.51,45.52,1.44,6.46,0.33,62.0,Satisfactory
17.63,62.18,63.42,16.04,47.55,11.17,0.93,10.19,24.64,0.52,3.59,0.29,110.0,Moderate
30.39,84.53,15.97,32.32,31.79,25.6,1.03,8.0,48.99,1.92,22.32,0.44,119.0,Moderate
91.16,243.14,28.41,59.07,60.5,40.31,1.17,15.56,59.41,3.53,6.23,0.0,207.0,Poor
119.82,268.65,26.27,51.11,66.92,28.99,8.21,17.21,65.72,4.32,13.89,4.52,378.0,Very Poor
259.0,368.35,61.55,58.92,7.06,68.61,1.68,23.76,56.1,5.63,15.78,0.39,398.0,Very Poor
16.68,31.02,9.57,42.12,20.85,25.01,0.24,8.03,29.57,0.08,1.2,2.13,70.0,Satisfactory
24.95,74.2,1.86,20.68,12.51,3.36,0.49,16.73,19.84,0.1,1.17,0.14,80.0,Satisfactory
170.81,351.28,19.85,50.88,44.98,36.48,1.51,33.5,67.84,4.4,24.54,0.45,376.0,Very Poor
56.19,129.11,14.26,43.3,48.2,40.48,1.22,10.85,48.8,3.03,9.92,2.43,209.0,Poor
26.47,62.35,15.67,11.18,23.35,14.65,0.91,17.6,20.92,3.16,1.97,6.72,79.0,Satisfactory
77.24,101.1,68.66,29.47,97.6,19.91,0.87,10.29,21.07,1.21,8.97,3.21,172.0,Moderate
137.2,414.7,34.13,51.13,57.35,30.33,1.52,23.46,50.71,4.73,35.17,0.65,390.0,Very Poor
27.11,48.38,5.33,12.75,9.72,37.53,0.47,15.3,66.52,1.62,2.69,2.45,95.0,Satisfactory
52.2,104.96,20.62,34.64,38.54,37.17,1.24,9.37,28.66,2.18,23.36,0.49,108.0,Moderate
101.59,211.21,49.12,54.98,104.08,17.99,1.33,9.44,40.02,21.35,30.9,5.29,249.0,Poor
58.44,141.53,23.22,13.55,30.28,22.5,0.84,25.04,31.93,6.41,2.27,13.48,121.0,Moderate
35.69,63.76,2.11,14.42,9.39,9.11,0.67,14.59,43.35,0.49,8.64,0.14,78.0,Satisfactory
55.87,126.08,10.42,58.63,39.49,21.29,1.02,10.27,47.42,2.55,18.56,4.02,116.0,Moderate
16.68,28.91,7.61,17.33,24.22,11.55,0.42,3.03,21.5,18.32,11.32,2.16,43.0,Good
61.32,101.59,11.19,54.28,5.18,35.72,0.17,35.08,38.95,0.01,0.08,0.03,96.0,Satisfactory
58.3,187.29,14.55,42.34,13.23,45.33,0.16,23.97,36.37,0.2,1.88,0.44,156.0,Moderate
25.44,77.68,17.05,11.41,26.88,12.1,0.82,11.62,30.24,1.46,1.76,2.0,70.0,Satisfactory
23.84,52.99,35.43,40.65,74.09,10.39,0.01,3.75,15.1,7.13,0.91,8.26,94.0,Satisfactory
36.35,61.96,4.95,24.49,15.72,9.32,0.58,3.71,24.03,0.72,5.24,1.45,70.0,Satisfactory
87.22,198.96,20.54,42.63,54.36,4.86,0.96,12.91,24.44,16.18,7.27,19.43,227.0,Poor
12.38,26.69,5.85,12.2,18.06,9.94,0.37,3.59,17.47,18.99,17.01,1.75,37.0,Good
54.32,92.67,9.02,69.63,25.52,34.58,0.74,42.58,49.14,0.2,3.11,1.5,95.0,Satisfactory
37.32,65.85,15.01,11.66,25.01,9.59,0.09,15.59,28.21,2.02,1.11,2.0,56.0,Satisfactory
9.77,35.42,1.48,12.59,7.81,3.34,0.32,21.81,28.75,0.01,2.55,0.14,41.0,Good
22.37,34.73,3.79,21.84,12.51,9.31,0.45,2.49,17.82,0.43,3.0,0.33,49.0,Good
18.4,49.43,4.29,13.66,10.85,13.37,0.38,5.51,48.0,0.4,0.28,0.1,66.0,Satisfactory
64.61,96.25,13.66,48.99,7.57,27.7,0.28,33.63,44.11,0.02,0.33,0.02,133.0,Moderate
34.2,58.26,4.48,11.32,10.31,37.56,0.63,7.02,74.53,5.33,3.07,2.4,118.0,Moderate
43.69,89.53,6.25,36.45,24.05,14.45,0.51,6.77,27.22,2.99,37.23,5.4,92.0,Satisfactory
99.69,157.03,5.83,71.61,42.84,15.19,0.5,10.52,24.22,0.08,0.08,0.1,257.0,Poor
47.3,136.76,1.53,20.22,12.09,7.92,0.64,22.25,68.43,0.3,2.17,0.15,133.0,Moderate
44.56,87.45,10.32,35.7,9.92,16.81,0.0,5.74,74.98,0.03,0.37,0.17,151.0,Moderate
16.4,44.14,8.25,13.37,8.5,4.82,0.22,5.23,28.81,0.64,4.55,0.74,58.0,Satisfactory
101.09,207.19,57.56,54.77,81.72,31.99,1.52,11.58,29.77,3.94,30.45,1.39,265.0,Poor
37.17,106.31,35.32,26.8,63.12,16.05,0.0,6.35,20.92,13.54,1.98,10.25,119.0,Moderate
35.0,62.07,13.04,10.44,23.08,9.32,0.81,13.46,11.17,1.94,1.1,1.98,96.0,Satisfactory
45.64,44.89,7.06,28.96,25.58,24.8,0.73,5.29,24.69,1.25,7.84,0.85,76.0,Satisfactory
18.12,33.96,5.09,11.78,10.49,12.69,0.46,14.24,17.41,0.12,2.45,0.54,43.0,Good
58.57,134.0,18.14,11.8,20.29,47.37,0.69,8.39,8.28,6.26,0.19,1.71,110.0,Moderate
26.33,65.41,4.78,11.56,9.73,52.34,0.46,5.88,9.77,3.21,0.15,0.46,76.0,Satisfactory
