Model Id,Epochs,Time,Hidden Layer Neurons,Learning Rate,Batch Size,Test Size,Training Loss Min,Validation Loss Min,Training Accuracy Max,Validation Accuracy Max
5VZ9,48,10.43,"[128, 128, 64]",0.007,128,0.2,0.209,0.3694,0.9187,0.87
wMGL,45,11.21,"[128, 128, 128, 32]",0.007,128,0.2,0.229,0.3824,0.9109,0.8738
4ETb,44,11.41,"[128, 128, 128, 32]",0.007,128,0.2,0.2194,0.3768,0.9152,0.8726
6ftc,40,10.19,"[128, 128, 128, 32]",0.007,128,0.2,0.235,0.3762,0.9072,0.8672
orOo,37,9.36,"[128, 128, 128, 32]",0.007,128,0.2,0.2347,0.3927,0.9084,0.8682
01oa,34,9.55,"[512, 256, 128, 32]",0.003,256,0.2,0.1546,0.3525,0.9387,0.8829
xKHv,32,9.42,"[512, 256, 128, 32]",0.003,256,0.2,0.1747,0.3503,0.9314,0.8843
7vfY,36,10.25,"[512, 256, 128, 32]",0.003,256,0.2,0.1472,0.355,0.9431,0.886
reE2,27,7.92,"[512, 256, 128, 32]",0.003,256,0.2,0.1893,0.3623,0.9245,0.8748
Sohv,38,11.47,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1561,0.386,0.9397,0.8834
kcPt,30,9.3,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1848,0.367,0.9257,0.8772
SckF,35,10.62,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1556,0.3492,0.9386,0.8811
dxlD,36,10.83,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1568,0.3346,0.939,0.8946
Tgnh,35,5.79,"[128, 128, 64]",0.003,256,0.2,0.2005,0.3684,0.9205,0.876
Q32B,30,5.08,"[128, 128, 64]",0.003,256,0.2,0.2265,0.3676,0.9123,0.8695
1m6I,47,7.19,"[128, 128, 64]",0.003,256,0.2,0.1702,0.3437,0.9345,0.8842
abuF,39,6.35,"[128, 128, 64]",0.003,256,0.2,0.1897,0.3378,0.9252,0.8845
3jBa,34,6.04,"[128, 128, 128, 32]",0.003,256,0.2,0.1961,0.3785,0.925,0.8722
huHl,40,6.98,"[128, 128, 128, 32]",0.003,256,0.2,0.1674,0.3564,0.934,0.8812
5V6Z,39,6.89,"[128, 128, 128, 32]",0.003,256,0.2,0.1739,0.353,0.9308,0.8778
24fH,38,6.97,"[128, 128, 128, 32]",0.003,256,0.2,0.1767,0.3583,0.9312,0.8748
0Hwf,36,10.48,"[512, 256, 128, 32]",0.001,256,0.2,0.1755,0.3557,0.9303,0.8766
S1iD,43,12.3,"[512, 256, 128, 32]",0.001,256,0.2,0.156,0.3476,0.9402,0.8875
iobU,40,11.18,"[512, 256, 128, 32]",0.001,256,0.2,0.1651,0.3488,0.9351,0.8825
iSEf,38,10.96,"[512, 256, 128, 32]",0.001,256,0.2,0.178,0.3357,0.9309,0.8845
RyaM,41,12.4,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1534,0.3434,0.9408,0.8823
JHTf,34,10.41,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1824,0.3291,0.9291,0.8808
JGHr,36,11.23,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1816,0.3617,0.9281,0.8818
av6p,31,9.48,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.2123,0.3514,0.9158,0.8731
afqQ,67,10.23,"[128, 128, 64]",0.001,256,0.2,0.2025,0.3638,0.9228,0.8757
LAXP,58,9.14,"[128, 128, 64]",0.001,256,0.2,0.2285,0.3381,0.9124,0.8711
CqQH,59,9.2,"[128, 128, 64]",0.001,256,0.2,0.2245,0.3702,0.9125,0.8678
pl64,69,10.49,"[128, 128, 64]",0.001,256,0.2,0.199,0.3619,0.923,0.8708
nXzl,61,10.43,"[128, 128, 128, 32]",0.001,256,0.2,0.1835,0.329,0.9285,0.8805
i3wj,56,9.69,"[128, 128, 128, 32]",0.001,256,0.2,0.1965,0.3523,0.9224,0.8778
tnbI,60,10.07,"[128, 128, 128, 32]",0.001,256,0.2,0.179,0.3412,0.9313,0.8768
cYUZ,43,7.36,"[128, 128, 128, 32]",0.001,256,0.2,0.2285,0.3878,0.9105,0.8626
eN5g,32,9.16,"[512, 256, 128, 32]",0.007,256,0.2,0.2046,0.3742,0.9201,0.8785
Sc8E,31,9.19,"[512, 256, 128, 32]",0.007,256,0.2,0.2284,0.3564,0.9102,0.874
nEsT,36,10.53,"[512, 256, 128, 32]",0.007,256,0.2,0.1973,0.3694,0.9214,0.8729
0MJX,34,10.18,"[512, 256, 128, 32]",0.007,256,0.2,0.2157,0.3664,0.9135,0.8748
SHyM,42,12.58,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2084,0.35,0.9198,0.8815
r1b6,35,10.62,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2192,0.3483,0.9156,0.8792
SBCp,29,8.96,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2326,0.3649,0.9087,0.8717
tWQi,34,10.25,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2271,0.3841,0.9145,0.8685
LUSy,35,5.98,"[128, 128, 64]",0.007,256,0.2,0.2139,0.3714,0.9174,0.8731
mjrB,34,5.45,"[128, 128, 64]",0.007,256,0.2,0.2259,0.361,0.9112,0.8678
EWby,32,5.02,"[128, 128, 64]",0.007,256,0.2,0.2252,0.358,0.9112,0.8709
kVBC,43,6.77,"[128, 128, 64]",0.007,256,0.2,0.1923,0.3832,0.9238,0.8717
IMwK,29,5.24,"[128, 128, 128, 32]",0.007,256,0.2,0.2292,0.3822,0.9099,0.8668
ki1G,35,5.98,"[128, 128, 128, 32]",0.007,256,0.2,0.2024,0.361,0.9224,0.8703
TyYE,48,7.96,"[128, 128, 128, 32]",0.007,256,0.2,0.1747,0.3484,0.9315,0.8898
2LhL,34,6.31,"[128, 128, 128, 32]",0.007,256,0.2,0.2152,0.352,0.9151,0.8802
B4hg,37,11.1,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1486,0.3302,0.9422,0.8842
CkVE,40,11.7,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1367,0.3629,0.9469,0.8825
efCM,34,10.39,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1681,0.3553,0.9335,0.8829
MFyf,32,9.69,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1691,0.3652,0.9337,0.8737
SIH9,36,6.41,"[128, 128, 128, 32]",0.002,256,0.2,0.1963,0.3697,0.9221,0.8646
y3zh,43,7.25,"[128, 128, 128, 32]",0.002,256,0.2,0.1749,0.3571,0.9313,0.8845
uM8m,45,8.17,"[128, 128, 128, 32]",0.002,256,0.2,0.1756,0.3404,0.9312,0.8795
7JAN,44,7.8,"[128, 128, 128, 32]",0.002,256,0.2,0.1754,0.3284,0.9313,0.8835
mWnf,34,6.99,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.1834,0.3538,0.9286,0.8768
Y665,37,7.78,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.1785,0.3577,0.93,0.8751
ovuh,28,6.0,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.2198,0.3727,0.9118,0.8735
SMUv,33,6.61,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.2054,0.3555,0.92,0.8751
vJ5W,35,9.25,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1847,0.3602,0.927,0.8751
t5Zz,36,9.66,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1701,0.3434,0.9341,0.8817
t77q,31,8.38,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1889,0.3693,0.9255,0.8763
cQDS,34,9.24,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1907,0.3601,0.9257,0.8738
kfGU,49,6.62,"[128, 128, 128, 32]",0.002,512,0.2,0.1857,0.3559,0.929,0.8805
GZ8R,38,5.22,"[128, 128, 128, 32]",0.002,512,0.2,0.2276,0.359,0.9107,0.8706
KEBf,52,6.82,"[128, 128, 128, 32]",0.002,512,0.2,0.1876,0.3515,0.9282,0.8732
MFfC,63,7.9,"[128, 128, 128, 32]",0.002,512,0.2,0.163,0.3908,0.9381,0.8732
HdKz,41,6.53,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.2042,0.3608,0.9192,0.8728
efqL,45,7.19,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.1739,0.3425,0.9308,0.8785
kzHx,49,7.69,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.171,0.3452,0.9338,0.8822
a6e7,43,7.41,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.1921,0.3532,0.9261,0.8785
y88R,30,13.1,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1668,0.3583,0.9343,0.8868
6Bk9,31,13.38,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1751,0.3293,0.9311,0.8855
cxrB,33,15.0,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1698,0.3463,0.9345,0.8845
uEcD,19,8.72,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.241,0.4078,0.9039,0.8694
NZiT,36,15.51,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.158,0.3712,0.9401,0.8783
ihXO,31,13.53,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1759,0.3472,0.9317,0.8802
sxp2,31,12.62,"[512, 256, 128, 32]",0.002,128,0.2,0.1653,0.3488,0.935,0.8851
Vbfw,31,12.88,"[512, 256, 128, 32]",0.002,128,0.2,0.1706,0.3401,0.9339,0.8815
hDIv,28,11.63,"[512, 256, 128, 32]",0.002,128,0.2,0.1678,0.3562,0.9347,0.8785
QgRs,37,9.89,"[128, 128, 128, 32]",0.004,128,0.2,0.1877,0.347,0.9265,0.8797
OEt3,36,10.06,"[128, 128, 128, 32]",0.004,128,0.2,0.1936,0.3702,0.924,0.8742
Dqq7,22,6.3,"[128, 128, 128, 32]",0.004,128,0.2,0.2566,0.4014,0.9,0.8645
CZFr,23,8.56,"[512, 256, 64]",0.004,128,0.2,0.2329,0.3776,0.9081,0.8674
ekP6,29,10.9,"[512, 256, 64]",0.004,128,0.2,0.2057,0.3522,0.9207,0.8862
KOtz,28,10.4,"[512, 256, 64]",0.004,128,0.2,0.2061,0.3654,0.9181,0.8762
